countryID,POPGRO,IONY,SCHOOL,GDP60,GDP85
1,0.026,0.241,0.045,2485,4371
2,0.032,0.283,0.029,959,3671
3,0.021,0.128,0.034,889,2190
4,0.023,0.054,0.011,533,608
5,0.043,0.124,0.023,1386,1704
6,0.034,0.174,0.024,944,1329
7,0.022,0.071,0.026,1194,975
8,0.024,0.132,0.006,455,823
9,0.022,0.073,0.01,737,710
10,0.025,0.083,0.036,1030,2348
11,0.024,0.12,0.023,1055,1186
12,0.023,0.096,0.017,1392,1450
13,0.023,0.216,0.03,4768,7064
14,0.029,0.18,0.005,383,710
15,0.024,0.138,0.043,1623,3661
16,0.027,0.317,0.024,1410,1217
17,0.028,0.211,0.044,1187,2107
18,0.026,0.068,0.032,846,1221
19,0.017,0.114,0.035,517,1031
20,0.03,0.199,0.072,3085,13372
21,0.024,0.168,0.051,978,1339
22,0.028,0.285,0.095,4802,10450
23,0.012,0.36,0.109,3493,13893
24,0.027,0.176,0.108,2183,4312
25,0.027,0.223,0.102,1285,4775
26,0.032,0.232,0.073,2154,5788
27,0.03,0.122,0.03,1077,2175
28,0.03,0.149,0.106,1668,2430
29,0.026,0.322,0.09,2793,14678
30,0.024,0.148,0.083,1794,2482
31,0.03,0.159,0.088,2382,6042
32,0.031,0.18,0.044,1308,3220
33,0.004,0.234,0.08,5939,13327
34,0.005,0.234,0.093,6789,14290
35,0.006,0.266,0.107,8551,16491
36,0.007,0.369,0.115,6527,13779
37,0.01,0.262,0.089,7215,15027
38,0.005,0.285,0.084,7695,15297
39,0.007,0.293,0.079,2257,6868
40,0.011,0.259,0.114,4411,8675
41,0.006,0.249,0.071,4913,11082
42,0.014,0.258,0.107,7689,13177
43,0.007,0.291,0.1,7938,19723
44,0.006,0.225,0.058,2272,5827
45,0.01,0.177,0.08,3766,9903
46,0.004,0.245,0.079,7802,15237
47,0.008,0.297,0.048,10308,15881
48,0.025,0.202,0.055,2274,4444
49,0.003,0.184,0.089,7634,13331
50,0.02,0.233,0.106,10286,17935
51,0.035,0.147,0.07,3360,4492
52,0.029,0.171,0.058,1939,3308
53,0.033,0.08,0.039,2042,1997
54,0.031,0.088,0.024,2481,3034
55,0.013,0.071,0.019,1096,1237
56,0.031,0.138,0.037,1430,1822
57,0.016,0.206,0.112,2726,3080
58,0.033,0.195,0.066,4229,7380
59,0.033,0.145,0.058,3195,3978
60,0.03,0.261,0.116,2423,5021
61,0.019,0.204,0.088,9253,11285
62,0.015,0.211,0.119,12362,18988
63,0.015,0.253,0.05,4852,5533
64,0.024,0.133,0.049,1618,2055
65,0.029,0.232,0.047,1842,5563
66,0.023,0.297,0.077,5189,5533
67,0.03,0.18,0.061,2672,4405
68,0.028,0.244,0.072,2198,4504
69,0.027,0.117,0.044,1951,3914
70,0.029,0.12,0.08,3310,3775
71,0.006,0.118,0.07,5119,5495
72,0.038,0.114,0.07,10367,6336
73,0.02,0.315,0.098,8440,13409
74,0.019,0.139,0.041,879,2159
75,0.017,0.225,0.119,9523,12308
