countryID,POPGRO,IONY,SCHOOL,GDP60,GDP85
1,0.026,0.241,0.045,2485,4371
2,0.021,0.058,0.018,1588,1171
3,0.024,0.108,0.018,1116,1071
4,0.032,0.283,0.029,959,3671
5,0.009,0.127,0.004,529,857
6,0.017,0.051,0.004,755,663
7,0.021,0.128,0.034,889,2190
8,0.017,0.105,0.014,838,789
9,0.019,0.069,0.004,908,462
10,0.024,0.288,0.038,1009,2624
11,0.025,0.163,0.07,907,2160
12,0.023,0.054,0.011,533,608
13,0.023,0.091,0.047,1009,727
14,0.043,0.124,0.023,1386,1704
15,0.034,0.174,0.024,944,1329
16,0.03,0.215,0.025,863,944
17,0.022,0.071,0.026,1194,975
18,0.024,0.132,0.006,455,823
19,0.022,0.073,0.01,737,710
20,0.022,0.256,0.01,777,1038
21,0.026,0.171,0.073,1973,2967
22,0.025,0.083,0.036,1030,2348
23,0.027,0.061,0.007,1420,1035
24,0.026,0.103,0.005,539,841
25,0.024,0.12,0.023,1055,1186
26,0.028,0.079,0.004,460,696
27,0.023,0.096,0.017,1392,1450
28,0.016,0.109,0.017,511,805
29,0.031,0.138,0.011,901,657
30,0.023,0.216,0.03,4768,7064
31,0.026,0.132,0.02,1254,1038
32,0.029,0.18,0.005,383,710
33,0.025,0.155,0.029,777,978
34,0.024,0.138,0.043,1623,3661
35,0.031,0.041,0.011,601,667
36,0.024,0.065,0.036,594,412
37,0.027,0.317,0.024,1410,1217
38,0.028,0.211,0.044,1187,2107
39,0.026,0.068,0.032,846,1221
40,0.017,0.114,0.035,517,1031
41,0.03,0.199,0.072,3085,13372
42,0.024,0.168,0.051,978,1339
43,0.028,0.285,0.095,4802,10450
44,0.012,0.36,0.109,3493,13893
45,0.027,0.176,0.108,2183,4312
46,0.027,0.223,0.102,1285,4775
47,0.032,0.232,0.073,2154,5788
48,0.02,0.059,0.023,833,974
49,0.03,0.122,0.03,1077,2175
50,0.03,0.149,0.106,1668,2430
51,0.026,0.322,0.09,2793,14678
52,0.024,0.148,0.083,1794,2482
53,0.03,0.159,0.088,2382,6042
54,0.031,0.18,0.044,1308,3220
55,0.004,0.234,0.08,5939,13327
56,0.005,0.234,0.093,6789,14290
57,0.006,0.266,0.107,8551,16491
58,0.007,0.369,0.115,6527,13779
59,0.01,0.262,0.089,7215,15027
60,0.005,0.285,0.084,7695,15297
61,0.007,0.293,0.079,2257,6868
62,0.011,0.259,0.114,4411,8675
63,0.006,0.249,0.071,4913,11082
64,0.014,0.258,0.107,7689,13177
65,0.007,0.291,0.1,7938,19723
66,0.006,0.225,0.058,2272,5827
67,0.01,0.177,0.08,3766,9903
68,0.004,0.245,0.079,7802,15237
69,0.008,0.297,0.048,10308,15881
70,0.025,0.202,0.055,2274,4444
71,0.003,0.184,0.089,7634,13331
72,0.02,0.233,0.106,10286,17935
73,0.035,0.147,0.07,3360,4492
74,0.029,0.171,0.058,1939,3308
75,0.033,0.08,0.039,2042,1997
76,0.031,0.088,0.024,2481,3034
77,0.013,0.071,0.019,1096,1237
78,0.031,0.138,0.037,1430,1822
79,0.016,0.206,0.112,2726,3080
80,0.033,0.195,0.066,4229,7380
81,0.033,0.145,0.058,3195,3978
82,0.03,0.261,0.116,2423,5021
83,0.019,0.204,0.088,9253,11285
84,0.015,0.211,0.119,12362,18988
85,0.015,0.253,0.05,4852,5533
86,0.024,0.133,0.049,1618,2055
87,0.029,0.232,0.047,1842,5563
88,0.023,0.297,0.077,5189,5533
89,0.03,0.18,0.061,2672,4405
90,0.028,0.244,0.072,2198,4504
91,0.027,0.117,0.044,1951,3914
92,0.029,0.12,0.08,3310,3775
93,0.006,0.118,0.07,5119,5495
94,0.038,0.114,0.07,10367,6336
95,0.02,0.315,0.098,8440,13409
96,0.019,0.139,0.041,879,2159
97,0.017,0.225,0.119,9523,12308
98,0.021,0.162,0.015,1781,2544
