countryID,POPGRO,IONY,SCHOOL,GDP60,GDP85
1,0.012,0.36,0.109,3493,13893
2,0.004,0.234,0.08,5939,13327
3,0.005,0.234,0.093,6789,14290
4,0.006,0.266,0.107,8551,16491
5,0.007,0.369,0.115,6527,13779
6,0.01,0.262,0.089,7215,15027
7,0.005,0.285,0.084,7695,15297
8,0.007,0.293,0.079,2257,6868
9,0.011,0.259,0.114,4411,8675
10,0.006,0.249,0.071,4913,11082
11,0.014,0.258,0.107,7689,13177
12,0.007,0.291,0.1,7938,19723
13,0.006,0.225,0.058,2272,5827
14,0.01,0.177,0.08,3766,9903
15,0.004,0.245,0.079,7802,15237
16,0.008,0.297,0.048,10308,15881
17,0.025,0.202,0.055,2274,4444
18,0.003,0.184,0.089,7634,13331
19,0.02,0.233,0.106,10286,17935
20,0.015,0.211,0.119,12362,18988
21,0.02,0.315,0.098,8440,13409
22,0.017,0.225,0.119,9523,12308
